id,tag,name,category,formula,inputs,status,rationale
35,derived:dpsproxy,sustained damage proxy,damage profile,SUM over picks of MAX damage stat carrying a per-second unit (unit_denominator = second),weapon_stats/ability_stats units,ready,the schema stores per-second figures where the wiki does; summing only those keeps the units honest
36,derived:rangeprofile,range profile,damage profile,MAX range stat per pick; comp median splits poke (>=20m) from brawl (<20m),"ability_stats/weapon_stats, stat_keys.range",live,"a brawl comp on a poke map loses before the fight starts; range is measured, playstyle is judged - use both"
37,derived:beams,beam presence,damage profile,|{h in picks : any weapon_type = beam}|,weapon_configs.weapon_type,ready,beams ignore travel time and falloff quirks; they are also the armor answer in formula 26
38,derived:meleerange,close-range dependency,damage profile,|{h in picks : MAX range stat <= 10}|,stat_keys.range,ready,picks that must touch the enemy to contribute all fail together against disengage comps
39,derived:spam,area-damage volume,damage profile,|{h in picks : any damage stat with a radius stat on the same ability}|,"ability_stats, stat_keys.radius",ready,area damage pressures chokes and barriers without aim; its count is the comp's siege weight
40,derived:oneshot,one-shot exposure,damage profile,|{h in picks : pool(h) <= MAX enemy single-hit damage}|,"heroes pools, enemy damage stats",live,the mirror of formula 30 from the enemy's seat: how many of ours die to one cooldown
41,derived:coverage,enemy coverage,matchup algebra,"cov(c) = |{e in E : (e, c) in counters}|; report candidates with cov >= COVERAGE_MIN","counters, heuristic_params.COVERAGE_MIN",live,one pick answering two named enemies is worth more than two picks answering one each
42,derived:teamcover,team coverage,matchup algebra,"|{e in E : exists a in A with (e, a) in counters}| / |E|","counters, locked allies",live,"what the locked picks already answer, before spending an open slot on it"
43,derived:teamcover,unanswered-enemy list,matchup algebra,"{e in E : no a in A answers e}, named explicitly",team coverage,live,"the open slots' to-do list, stated as names rather than a percentage"
44,derived:netmatchup,net matchup,matchup algebra,"net(c) = |{e in E : (e,c) in counters}| - |{e in E : (c,e) in counters}|; top NET_LIMIT candidates","counters, heuristic_params.NET_LIMIT",live,answering two enemies means less if both of them also answer you; the difference is the real edge
45,derived:safe,safe picks,matchup algebra,"{c in C : no e in E has (c, e) in counters}",counters,live,picks the named enemies hold no listed answer to - the low-risk half of the pool
46,derived:netmatchup,exposure count,matchup algebra,"exp(c) = |{e in E : (c, e) in counters}|, reported inside the net-matchup line",counters,live,the denominator of risk: how many named enemies were literally listed as this pick's answer
47,derived:coverbreadth,counter diversity,matchup algebra,"distinct enemies answered by the whole comp / |E|, counting each enemy once",counters,live,five picks all answering the same Zarya is 20% breadth wearing a 100% costume
48,derived:doublecover,coverage redundancy,matchup algebra,|{e in E : answered by >= 2 picks}|,counters,live,redundant answers survive a swap or a ban; single-threaded answers do not
49,derived:counterchain,counter-chain instability,matchup algebra,"|{(c, e) : c answers e but some e' in E answers c}| - answers that are themselves answered",counters,ready,an answer that dies to the enemy's other half is a swap the enemy can force mid-match
50,derived:banproof,ban-resilient coverage,matchup algebra,team coverage recomputed with the comp's highest-ban-rate answer removed,"counters, hero_meta.ban_rate",live,"if the plan dies when the likely ban lands, it was never a plan; measure the plan minus its ban"
51,derived:pairings,proven partners,synergy graph,"top PAIRING_LIMIT synergy edges incident to each locked pick, with scores and notes","synergies, heuristic_params.PAIRING_LIMIT",live,the playbook's own memory of what worked next to the pick you already made
52,derived:cohesion,internal synergy edges,synergy graph,"|{(a, b) in synergies : a, b both in picks}| out of C(5,2) = 10 possible",synergies,live,how much of the comp the playbook has actually seen work together
53,derived:cohesion,synergy density,synergy graph,"internal edges / 10; 0.0 = five strangers, 1.0 = a documented machine",internal synergy edges,live,normalizing lets two candidate comps be compared on cohesion in one number
54,derived:isolated,isolated pick,synergy graph,{h in picks : no synergy edge from h to any teammate},synergies,live,"a great hero with no documented partner in this comp is a solo act - sometimes fine, always worth naming"
55,derived:core,synergy core,synergy graph,largest connected component of the synergy subgraph induced by the picks,synergies,ready,a 4-hero core plus a specialist beats five loosely-paired picks; the component size says which you built
56,derived:cohesion,score-weighted cohesion,synergy graph,"SUM of synergies.score over internal edges (null scores count 0), reported inside the cohesion line",synergies.score,live,"when the author scored the pairs, the sum ranks comps beyond mere edge count"
57,derived:synreach,candidate synergy reach,synergy graph,"reach(c) = |{a in A : (a, c) in synergies}|","synergies, locked allies",live,the direct draft question: which candidate plugs into the picks already locked
58,derived:weakties,weak-tie audit,synergy graph,internal edges with score <= WEAK_TIE among the picks,"synergies.score, heuristic_params.WEAK_TIE",ready,a low-scored pair the author kept is a documented doubt; surface it rather than average it away
59,derived:hubs,synergy hubs,synergy graph,"top heroes by degree in the whole synergy graph, restricted to C",synergies,ready,"high-degree heroes keep the comp flexible: whatever else changes, they still have partners"
60,derived:gravity,pairing gravity,synergy graph,"rank candidates by (reach(c), mwin(c, map)); synergy first, map rate as tiebreak","synergies, map_meta",ready,a draft order that respects the playbook's judgement before the population's average
61,map_strategy,map strategy alignment,map and mode fit,"picks appearing in map_strategy for this map, in the authored rank order",map_strategy,live,"the playbook's explicit per-map picks; alignment with them is a cited argument, not a vibe"
62,playstyle+map_meta,style-map intersection,map and mode fit,heroes whose playstyle matches the map's top styles AND hold mwin >= 50 on it,"playstyle, map_playstyle, map_meta",live,judged style and measured rate agreeing on the same hero is the strongest single signal we compute
63,derived:skeleton,draft skeleton,map and mode fit,"greedy fill of the map archetype's role slots from C, allies seated first, ranked by (style match, mwin else win); reports avg win","comp_archetypes, map_playstyle, playstyle, map_meta, hero_meta",live,a straw-man five to argue against; greedy by design and labeled as such - not an optimum
64,derived:stagesplit,stage volatility,map and mode fit,per pick: MAX - MIN of mwin across the map's stages,map_meta.stage_id exists but holds no rows - the per-stage scrape was cut with the map x tier page budget,blocked,"a hero who wins Lighthouse and loses Ruins is a mid-map swap candidate, not a lock - the column is ready; re-widening the rates scrape to stages fills it"
65,derived:sidedness,attack-defense asymmetry,map and mode fit,per pick: mwin on attack vs defense for this map,side is not encoded on map_meta,blocked,the rates page does not split by side; needs a side column and a source that measures it
66,derived:modefit,gamemode profile,map and mode fit,"per pick: mean mwin grouped by maps.gamemode, compared to the current map's mode","maps.gamemode, map_meta",ready,a hero can be a control specialist rather than an Ilios specialist; the mode average separates the two
67,derived:styleconsensus,style consensus margin,map and mode fit,map_playstyle top score minus second score for this map,map_playstyle,live,a map judged brawl-by-a-landslide should bind the skeleton harder than a coin-flip map
68,derived:offmap,off-map liability,map and mode fit,"{c : mwin(c, map) <= win(c) - SPECIALIST_DELTA} - the specialist formula's dark twin","map_meta, hero_meta, heuristic_params.SPECIALIST_DELTA",live,comfort picks that measurably underperform here deserve the same visibility as specialists
69,derived:mapbreadth,comp map breadth,map and mode fit,|{maps m : mean mwin of picks on m >= 50}| over all maps,map_meta,ready,for scrims and tournaments: whether this five is a one-map trick or a portable identity
70,derived:stagepick,stage specialist,map and mode fit,"{c : mwin(c, stage) >= mwin(c, map) + SPECIALIST_DELTA for some stage of this map}",map_meta.stage_id exists but holds no rows - the per-stage scrape was cut with the map x tier page budget,blocked,control maps are three maps in a trenchcoat; a Lighthouse specialist is real information - the column is ready; re-widening the rates scrape to stages fills it
71,derived:sleepers,sleepers,meta and population,"{c : mwin(c, map) >= SLEEPER_WIN and pick(c) <= SLEEPER_PICK}","map_meta, hero_meta, heuristic_params.SLEEPER_WIN/SLEEPER_PICK",live,"wins a lot, picked rarely: either an inefficiency to exploit or a selection artifact to argue about"
72,derived:specialists,map specialists,meta and population,"{c : mwin(c, map) >= win(c) + SPECIALIST_DELTA}","map_meta, hero_meta, heuristic_params.SPECIALIST_DELTA",live,outperforms their own baseline here specifically - the map is doing work for them
73,derived:lean,enemy style lean,meta and population,"modal playstyle among E, when one style holds a strict majority",playstyle,live,"naming the enemy's identity (dive, brawl, poke) frames every counter argument that follows"
74,hero_meta,ban pressure,meta and population,"flag heroes with ban(h) > 25 as near-certain bans, > 20 as likely",hero_meta.ban_rate,live,a comp leaning on a 30%-ban hero needs the plan B written before the ban screen
75,derived:availability,expected availability,meta and population,PRODUCT over picks of (1 - ban(h)/100): the chance the whole five survives the ban screen,hero_meta.ban_rate,live,five 10%-ban picks lose the full comp four matches in ten; the product makes that visible
76,derived:pickmass,pick-rate mass,meta and population,SUM pick(h) over picks,hero_meta.pick_rate,live,high mass = the mirror-prone meta comp everyone practices against; low mass = off-meta surprise value
77,derived:trend,win-rate trend,meta and population,delta = win(h) at latest snapshot - win(h) at previous; report |delta| >= TREND_POINTS,"hero_meta across meta_snapshots, heuristic_params.TREND_POINTS",live,the series the snapshots accumulate exists to be differenced; a 2-point mover is patch news
78,hero_meta,rank sensitivity,meta and population,per candidate: MAX - MIN win across tiers; flag spreads >= 6 points,hero_meta per tier,live,a hero that wins in Bronze and loses in GM is advice that must know its audience
79,meta_snapshots,population proxy caveat,meta and population,"every rate line inherits queue=RQ, platform=console, region=Americas from its snapshot",meta_snapshots population columns,live,"the rates are a proxy for open queue, and the dossier says so every time rather than once"
80,derived:overrated,over-picked underperformer,meta and population,{c : pick(c) >= 2 x SLEEPER_PICK and win(c) < 50},"hero_meta, heuristic_params.SLEEPER_PICK",live,the sleeper formula's mirror: popularity the results do not justify - do not copy the lobby
81,derived:ultcensus,damage-ult census,ultimates and tempo,|{h in picks : h has an ultimate ability carrying a damage stat}|,"abilities.kind, ability_stats",live,teamfight-ending buttons per fight cycle; zero of them means the comp wins on attrition only
82,derived:ultburst,ult burst stack,ultimates and tempo,SUM over picks of MAX damage stat on their ultimate,"abilities.kind, ability_stats.damage",live,the ceiling of a coordinated all-in; the number a 'we combo our ults' plan is actually claiming
83,derived:ultanswer,defensive-ult answer,ultimates and tempo,enemy damage ults vs our invulnerability/cleanse ults,invulnerability is not encoded as a stat,blocked,"needs an effect taxonomy (invuln, cleanse, lockout) on abilities; text search is not a formula"
84,derived:combos,authored combo notes,ultimates and tempo,synergy edges among picks whose note mentions an ultimate by name,"synergies.note, abilities",ready,"crude by admission - it reads the author's own words, so it inherits their precision, not the game's"
85,derived:ulteconomy,ult economy pacing,ultimates and tempo,ult charge cost per hero vs damage/healing throughput,charge costs are not published or scraped,blocked,Blizzard does not publish charge requirements; without them any pacing number would be fiction
86,derived:cdtempo,cooldown tempo,ultimates and tempo,median cooldown across each pick's abilities; comp median <= 8s reads as high-uptime brawl tempo,"ability_stats, stat_keys.cooldown",live,short-cooldown kits re-engage faster; the median is a measured stand-in for 'this comp fights constantly'
87,derived:engage,engage-tool census,ultimates and tempo,|{h in picks : h has a movement ability}|,movement is not encoded on abilities,blocked,needs an ability-effect taxonomy; until then playstyle 'dive' membership is the judged proxy
88,derived:peel,peel-tool census,ultimates and tempo,|{h in picks : h has a stun/sleep/knockback ability}|,crowd control is not encoded on abilities,blocked,"same missing taxonomy as engage; the counters table encodes its consequences, not the tools"
89,derived:objtime,objective presence,ultimates and tempo,time-on-objective per hero,no per-hero objective statistics are scraped,blocked,the rates page publishes win/pick/ban only; this needs a source that does not currently exist in the pipeline
90,derived:swapcost,swap-cost awareness,ultimates and tempo,ult progress lost per proposed mid-match swap,live match state is out of scope for the database,blocked,"the database describes the game, not a running match; kept to mark the boundary deliberately"
91,meta_snapshots,vintage warning,uncertainty and confidence,flag when patches newer than the snapshot's patch exist in patches,"meta_snapshots.patch_id, patches.released",live,stale rates argue less; the warning explicitly shifts weight toward kit facts and playbook judgement
92,meta_snapshots,snapshot age,uncertainty and confidence,"days between captured_at and today, stated on every dossier",meta_snapshots.captured_at,live,the reader should never have to guess how old the numbers are
93,meta_snapshots,dual delineation,uncertainty and confidence,"every snapshot carries both patch_id and season_id, and both predate its capture","meta_snapshots, patches, seasons",live,"a rate without its patch and season is a number without a 'when'; enforced by invariant test, not convention"
94,derived:samplesize,sample-size caveat,uncertainty and confidence,confidence interval on each win rate from its match count,the rates page publishes no sample sizes,blocked,"without n, a 55% is indistinguishable from noise on a rare hero; permanent honesty note until a source appears"
95,derived:confidence,playbook confidence,uncertainty and confidence,per playbook row: an authored confidence grade weighting how hard the dossier leans on it,no confidence column exists on playbook tables,blocked,today every authored claim argues at equal volume; a confidence column would let the author whisper
96,store,citation coverage gate,uncertainty and confidence,every recorded pick must cite >= 1 evidence tag that the dossier actually rendered,"recommendation_picks, recommendation_evidence, store.persist",live,"enforced at write time: an answer that cites nothing, or cites the unseen, is refused, not warned"
97,recommendations,history echo,uncertainty and confidence,"prior recorded recommendations for the same map, surfaced as evidence","recommendations, recommendation_picks",live,the system's own past answers are data; agreeing or breaking with them should be a conscious act
98,derived:dissent,skeleton dissent,uncertainty and confidence,"picks in the recorded answer that differ from the draft skeleton, counted and named",recommendation_picks vs the skeleton at record time,ready,"divergence from the greedy baseline is where the model earned its keep - or went wrong; either way, log it"
99,heuristics,catalog parity,uncertainty and confidence,set of derived: tags emitted by dossier.py = set of tags on live derived rows in this table,"heuristics table, dossier source",live,"self-referential integrity, enforced by test: the catalog may never drift from the code it describes"
100,derived:argmax,the objective,uncertainty and confidence,COUNTER = argmax over 5-subsets of C of w1*coverage + w2*cohesion + w3*map fit + w4*meta - w5*exposure,every table above; weights would live in heuristic_params,ready,"the whole database in one line; the skeleton greedily approximates it, and an exact solver is the roadmap"
